,Country ISO3,Country Name,Indicator,Subindicator Type,Year,value,Dataset,Lneding group,Region
22351,ARM,Armenia,Registering Property: Procedures,Total,2006,3,DB,IBRD,Europe & Central Asia
22353,ARM,Armenia,Rule of Law,Estimate,2006,-0.55,WDI,IBRD,Europe & Central Asia
22354,ARM,Armenia,Time required to register property (days),Total,2006,5,DB,IBRD,Europe & Central Asia
22355,ASM,American Samoa,Rule of Law,Estimate,2006,1.08,WDI,..,East Asia & Pacific
22361,ATG,Antigua and Barbuda,Enforcing Contracts,Total,2006,351,DB,IBRD,Latin America & Caribbean
22362,ATG,Antigua and Barbuda,Enforcing Contracts Cost % of claim,Total,2006,27.1,DB,IBRD,Latin America & Caribbean
22370,ATG,Antigua and Barbuda,Registering Property: Procedures,Total,2006,6,DB,IBRD,Latin America & Caribbean
22372,ATG,Antigua and Barbuda,Rule of Law,Estimate,2006,0.93,WDI,IBRD,Latin America & Caribbean
22374,ATG,Antigua and Barbuda,Time required to register property (days),Total,2006,25,DB,IBRD,Latin America & Caribbean
22376,AUS,Australia,Enforcing Contracts,Total,2006,395,DB,..,East Asia & Pacific
22377,AUS,Australia,Enforcing Contracts Cost % of claim,Total,2006,22.1,DB,..,East Asia & Pacific
22386,AUS,Australia,Registering Property: Procedures,Total,2006,5,DB,..,East Asia & Pacific
22388,AUS,Australia,Rule of Law,Estimate,2006,1.77,WDI,..,East Asia & Pacific
22390,AUS,Australia,Time required to register property (days),Total,2006,4.5,DB,..,East Asia & Pacific
22392,AUT,Austria,Enforcing Contracts,Total,2006,397,DB,..,Europe & Central Asia
22393,AUT,Austria,Enforcing Contracts Cost % of claim,Total,2006,15.1,DB,..,Europe & Central Asia
22402,AUT,Austria,Registering Property: Procedures,Total,2006,3,DB,..,Europe & Central Asia
22404,AUT,Austria,Rule of Law,Estimate,2006,1.91,WDI,..,Europe & Central Asia
22406,AUT,Austria,Time required to register property (days),Total,2006,31.5,DB,..,Europe & Central Asia
22411,AZE,Azerbaijan,Enforcing Contracts,Total,2006,267,DB,IBRD,Europe & Central Asia
22412,AZE,Azerbaijan,Enforcing Contracts Cost % of claim,Total,2006,18.5,DB,IBRD,Europe & Central Asia
22418,AZE,Azerbaijan,Registering Property: Procedures,Total,2006,7,DB,IBRD,Europe & Central Asia
22420,AZE,Azerbaijan,Rule of Law,Estimate,2006,-0.89,WDI,IBRD,Europe & Central Asia
22421,AZE,Azerbaijan,Time required to register property (days),Total,2006,59,DB,IBRD,Europe & Central Asia
22422,BDI,Burundi,Corruption / Percent of firms identifying the courts system as a major constraint,Total,2006,7.1,ES,IDA,Sub-Saharan Africa
22424,BDI,Burundi,Crime / Percent of firms identifying crime theft and disorder as a major constraint,Total,2006,2.9,ES,IDA,Sub-Saharan Africa
22425,BDI,Burundi,Crime / Percent of firms paying for security,Total,2006,61.3,ES,IDA,Sub-Saharan Africa
22426,BDI,Burundi,Enforcing Contracts,Total,2006,558,DB,IDA,Sub-Saharan Africa
22427,BDI,Burundi,Enforcing Contracts Cost % of claim,Total,2006,38.6,DB,IDA,Sub-Saharan Africa
22433,BDI,Burundi,Registering Property: Procedures,Total,2006,8,DB,IDA,Sub-Saharan Africa
22435,BDI,Burundi,Rule of Law,Estimate,2006,-0.97,WDI,IDA,Sub-Saharan Africa
22436,BDI,Burundi,Time required to register property (days),Total,2006,104,DB,IDA,Sub-Saharan Africa
22438,BEL,Belgium,Enforcing Contracts,Total,2006,505,DB,..,Europe & Central Asia
22439,BEL,Belgium,Enforcing Contracts Cost % of claim,Total,2006,17.7,DB,..,Europe & Central Asia
22448,BEL,Belgium,Registering Property: Procedures,Total,2006,7,DB,..,Europe & Central Asia
22450,BEL,Belgium,Rule of Law,Estimate,2006,1.24,WDI,..,Europe & Central Asia
22452,BEL,Belgium,Time required to register property (days),Total,2006,132,DB,..,Europe & Central Asia
22457,BEN,Benin,Enforcing Contracts,Total,2006,825,DB,IDA,Sub-Saharan Africa
22458,BEN,Benin,Enforcing Contracts Cost % of claim,Total,2006,64.7,DB,IDA,Sub-Saharan Africa
22464,BEN,Benin,Registering Property: Procedures,Total,2006,4,DB,IDA,Sub-Saharan Africa
22466,BEN,Benin,Rule of Law,Estimate,2006,-0.53,WDI,IDA,Sub-Saharan Africa
22467,BEN,Benin,Time required to register property (days),Total,2006,120,DB,IDA,Sub-Saharan Africa
22469,BFA,Burkina Faso,Corruption / Percent of firms identifying the courts system as a major constraint,Total,2006,18.8,ES,IDA,Sub-Saharan Africa
22471,BFA,Burkina Faso,Crime / Percent of firms identifying crime theft and disorder as a major constraint,Total,2006,1.4,ES,IDA,Sub-Saharan Africa
22472,BFA,Burkina Faso,Crime / Percent of firms paying for security,Total,2006,87.8,ES,IDA,Sub-Saharan Africa
22473,BFA,Burkina Faso,Enforcing Contracts,Total,2006,446,DB,IDA,Sub-Saharan Africa
22474,BFA,Burkina Faso,Enforcing Contracts Cost % of claim,Total,2006,87.6,DB,IDA,Sub-Saharan Africa
22483,BFA,Burkina Faso,Registering Property: Procedures,Total,2006,8,DB,IDA,Sub-Saharan Africa
22485,BFA,Burkina Faso,Rule of Law,Estimate,2006,-0.43,WDI,IDA,Sub-Saharan Africa
22487,BFA,Burkina Faso,Time required to register property (days),Total,2006,182,DB,IDA,Sub-Saharan Africa
22494,BGD,Bangladesh,Enforcing Contracts Cost % of claim,Total,2006,66.8,DB,IDA,South Asia
22504,BGD,Bangladesh,Rule of Law,Estimate,2006,-0.9,WDI,IDA,South Asia
22512,BGR,Bulgaria,Enforcing Contracts,Total,2006,564,DB,IBRD,Europe & Central Asia
22513,BGR,Bulgaria,Enforcing Contracts Cost % of claim,Total,2006,18.6,DB,IBRD,Europe & Central Asia
22522,BGR,Bulgaria,Registering Property: Procedures,Total,2006,8,DB,IBRD,Europe & Central Asia
22524,BGR,Bulgaria,Rule of Law,Estimate,2006,-0.09,WDI,IBRD,Europe & Central Asia
22526,BGR,Bulgaria,Time required to register property (days),Total,2006,27,DB,IBRD,Europe & Central Asia
22536,BHR,Bahrain,Rule of Law,Estimate,2006,0.38,WDI,..,Middle East & North Africa
22555,BHS,"Bahamas, The",Rule of Law,Estimate,2006,1.09,WDI,..,Latin America & Caribbean
22563,BIH,Bosnia and Herzegovina,Enforcing Contracts,Total,2006,595,DB,IBRD,Europe & Central Asia
22564,BIH,Bosnia and Herzegovina,Enforcing Contracts Cost % of claim,Total,2006,34,DB,IBRD,Europe & Central Asia
22573,BIH,Bosnia and Herzegovina,Registering Property: Procedures,Total,2006,7,DB,IBRD,Europe & Central Asia
22575,BIH,Bosnia and Herzegovina,Rule of Law,Estimate,2006,-0.5,WDI,IBRD,Europe & Central Asia
22577,BIH,Bosnia and Herzegovina,Time required to register property (days),Total,2006,331,DB,IBRD,Europe & Central Asia
22583,BLR,Belarus,Enforcing Contracts,Total,2006,225,DB,IBRD,Europe & Central Asia
22584,BLR,Belarus,Enforcing Contracts Cost % of claim,Total,2006,23.4,DB,IBRD,Europe & Central Asia
22593,BLR,Belarus,Registering Property: Procedures,Total,2006,7,DB,IBRD,Europe & Central Asia
22595,BLR,Belarus,Rule of Law,Estimate,2006,-1.33,WDI,IBRD,Europe & Central Asia
22597,BLR,Belarus,Time required to register property (days),Total,2006,230,DB,IBRD,Europe & Central Asia
22603,BLZ,Belize,Enforcing Contracts,Total,2006,892,DB,IBRD,Latin America & Caribbean
22604,BLZ,Belize,Enforcing Contracts Cost % of claim,Total,2006,27.5,DB,IBRD,Latin America & Caribbean
22613,BLZ,Belize,Registering Property: Procedures,Total,2006,8,DB,IBRD,Latin America & Caribbean
22615,BLZ,Belize,Rule of Law,Estimate,2006,-0.04,WDI,IBRD,Latin America & Caribbean
22617,BLZ,Belize,Time required to register property (days),Total,2006,60,DB,IBRD,Latin America & Caribbean
22618,BMU,Bermuda,Rule of Law,Estimate,2006,0.82,WDI,..,North America
22620,BOL,Bolivia,Corruption / Percent of firms identifying the courts system as a major constraint,Total,2006,13.7,ES,IBRD,Latin America & Caribbean
22622,BOL,Bolivia,Crime / Percent of firms identifying crime theft and disorder as a major constraint,Total,2006,2.3,ES,IBRD,Latin America & Caribbean
22623,BOL,Bolivia,Crime / Percent of firms paying for security,Total,2006,69.9,ES,IBRD,Latin America & Caribbean
22624,BOL,Bolivia,Enforcing Contracts,Total,2006,591,DB,IBRD,Latin America & Caribbean
22625,BOL,Bolivia,Enforcing Contracts Cost % of claim,Total,2006,25,DB,IBRD,Latin America & Caribbean
22634,BOL,Bolivia,Registering Property: Procedures,Total,2006,7,DB,IBRD,Latin America & Caribbean
22636,BOL,Bolivia,Rule of Law,Estimate,2006,-0.85,WDI,IBRD,Latin America & Caribbean
22638,BOL,Bolivia,Time required to register property (days),Total,2006,91,DB,IBRD,Latin America & Caribbean
22645,BRA,Brazil,Enforcing Contracts Cost % of claim,Total,2006,16.5,DB,IBRD,Latin America & Caribbean
22655,BRA,Brazil,Rule of Law,Estimate,2006,-0.37,WDI,IBRD,Latin America & Caribbean
22675,BRB,Barbados,Rule of Law,Estimate,2006,1.24,WDI,..,Latin America & Caribbean
22678,BRN,Brunei Darussalam,Enforcing Contracts,Total,2006,540,DB,..,East Asia & Pacific
22679,BRN,Brunei Darussalam,Enforcing Contracts Cost % of claim,Total,2006,36.6,DB,..,East Asia & Pacific
22685,BRN,Brunei Darussalam,Registering Property: Procedures,Total,2006,8,DB,..,East Asia & Pacific
22687,BRN,Brunei Darussalam,Rule of Law,Estimate,2006,0.12,WDI,..,East Asia & Pacific
22688,BRN,Brunei Darussalam,Time required to register property (days),Total,2006,299,DB,..,East Asia & Pacific
22693,BTN,Bhutan,Enforcing Contracts,Total,2006,275,DB,IDA,South Asia
22694,BTN,Bhutan,Enforcing Contracts Cost % of claim,Total,2006,0.1,DB,IDA,South Asia
22700,BTN,Bhutan,Registering Property: Procedures,Total,2006,3,DB,IDA,South Asia
22702,BTN,Bhutan,Rule of Law,Estimate,2006,0.19,WDI,IDA,South Asia
22703,BTN,Bhutan,Time required to register property (days),Total,2006,92,DB,IDA,South Asia
22705,BWA,Botswana,Corruption / Percent of firms identifying the courts system as a major constraint,Total,2006,3.9,ES,IBRD,Sub-Saharan Africa
22707,BWA,Botswana,Crime / Percent of firms identifying crime theft and disorder as a major constraint,Total,2006,11,ES,IBRD,Sub-Saharan Africa
22708,BWA,Botswana,Crime / Percent of firms paying for security,Total,2006,84.1,ES,IBRD,Sub-Saharan Africa
22709,BWA,Botswana,Enforcing Contracts,Total,2006,1022,DB,IBRD,Sub-Saharan Africa
22710,BWA,Botswana,Enforcing Contracts Cost % of claim,Total,2006,39.8,DB,IBRD,Sub-Saharan Africa
22719,BWA,Botswana,Registering Property: Procedures,Total,2006,3,DB,IBRD,Sub-Saharan Africa
22721,BWA,Botswana,Rule of Law,Estimate,2006,0.62,WDI,IBRD,Sub-Saharan Africa
22723,BWA,Botswana,Time required to register property (days),Total,2006,11,DB,IBRD,Sub-Saharan Africa
22728,CAF,Central African Republic,Enforcing Contracts,Total,2006,660,DB,IDA,Sub-Saharan Africa
22729,CAF,Central African Republic,Enforcing Contracts Cost % of claim,Total,2006,82,DB,IDA,Sub-Saharan Africa
22735,CAF,Central African Republic,Registering Property: Procedures,Total,2006,5,DB,IDA,Sub-Saharan Africa
22737,CAF,Central African Republic,Rule of Law,Estimate,2006,-1.54,WDI,IDA,Sub-Saharan Africa
22738,CAF,Central African Republic,Time required to register property (days),Total,2006,75,DB,IDA,Sub-Saharan Africa
22740,CAN,Canada,Enforcing Contracts,Total,2006,570,DB,..,North America
22741,CAN,Canada,Enforcing Contracts Cost % of claim,Total,2006,22.3,DB,..,North America
22750,CAN,Canada,Registering Property: Procedures,Total,2006,5,DB,..,North America
22752,CAN,Canada,Rule of Law,Estimate,2006,1.81,WDI,..,North America
22754,CAN,Canada,Time required to register property (days),Total,2006,6.5,DB,..,North America
22755,CHE,Switzerland,Enforcing Contracts,Total,2006,447,DB,..,Europe & Central Asia
22756,CHE,Switzerland,Enforcing Contracts Cost % of claim,Total,2006,21.2,DB,..,Europe & Central Asia
22762,CHE,Switzerland,Registering Property: Procedures,Total,2006,4,DB,..,Europe & Central Asia
22764,CHE,Switzerland,Rule of Law,Estimate,2006,1.82,WDI,..,Europe & Central Asia
22765,CHE,Switzerland,Time required to register property (days),Total,2006,16,DB,..,Europe & Central Asia
22767,CHL,Chile,Corruption / Percent of firms identifying the courts system as a major constraint,Total,2006,5.4,ES,IBRD,Latin America & Caribbean
22769,CHL,Chile,Crime / Percent of firms identifying crime theft and disorder as a major constraint,Total,2006,14.3,ES,IBRD,Latin America & Caribbean
22770,CHL,Chile,Crime / Percent of firms paying for security,Total,2006,63.7,ES,IBRD,Latin America & Caribbean
22771,CHL,Chile,Enforcing Contracts,Total,2006,480,DB,IBRD,Latin America & Caribbean
22772,CHL,Chile,Enforcing Contracts Cost % of claim,Total,2006,28.6,DB,IBRD,Latin America & Caribbean
22781,CHL,Chile,Registering Property: Procedures,Total,2006,6,DB,IBRD,Latin America & Caribbean
22783,CHL,Chile,Rule of Law,Estimate,2006,1.27,WDI,IBRD,Latin America & Caribbean
22785,CHL,Chile,Time required to register property (days),Total,2006,31,DB,IBRD,Latin America & Caribbean
22792,CHN,China,Enforcing Contracts Cost % of claim,Total,2006,15.1,DB,IBRD,East Asia & Pacific
22802,CHN,China,Rule of Law,Estimate,2006,-0.64,WDI,IBRD,East Asia & Pacific
22810,CIV,Cote d'Ivoire,Enforcing Contracts,Total,2006,770,DB,IDA,Sub-Saharan Africa
22811,CIV,Cote d'Ivoire,Enforcing Contracts Cost % of claim,Total,2006,41.7,DB,IDA,Sub-Saharan Africa
22820,CIV,Cote d'Ivoire,Registering Property: Procedures,Total,2006,6,DB,IDA,Sub-Saharan Africa
22822,CIV,Cote d'Ivoire,Rule of Law,Estimate,2006,-1.45,WDI,IDA,Sub-Saharan Africa
22824,CIV,Cote d'Ivoire,Time required to register property (days),Total,2006,51,DB,IDA,Sub-Saharan Africa
22826,CMR,Cameroon,Corruption / Percent of firms identifying the courts system as a major constraint,Total,2006,29.4,ES,Blend,Sub-Saharan Africa
22828,CMR,Cameroon,Crime / Percent of firms identifying crime theft and disorder as a major constraint,Total,2006,3.5,ES,Blend,Sub-Saharan Africa
22829,CMR,Cameroon,Crime / Percent of firms paying for security,Total,2006,92.4,ES,Blend,Sub-Saharan Africa
22830,CMR,Cameroon,Enforcing Contracts,Total,2006,800,DB,Blend,Sub-Saharan Africa
22831,CMR,Cameroon,Enforcing Contracts Cost % of claim,Total,2006,46.6,DB,Blend,Sub-Saharan Africa
22840,CMR,Cameroon,Registering Property: Procedures,Total,2006,5,DB,Blend,Sub-Saharan Africa
22842,CMR,Cameroon,Rule of Law,Estimate,2006,-1.15,WDI,Blend,Sub-Saharan Africa
22844,CMR,Cameroon,Time required to register property (days),Total,2006,93,DB,Blend,Sub-Saharan Africa
22845,COD,"Congo, Dem. Rep.",Corruption / Percent of firms identifying the courts system as a major constraint,Total,2006,10.9,ES,IDA,Sub-Saharan Africa
22847,COD,"Congo, Dem. Rep.",Crime / Percent of firms identifying crime theft and disorder as a major constraint,Total,2006,1.9,ES,IDA,Sub-Saharan Africa
22848,COD,"Congo, Dem. Rep.",Crime / Percent of firms paying for security,Total,2006,34,ES,IDA,Sub-Saharan Africa
22849,COD,"Congo, Dem. Rep.",Enforcing Contracts,Total,2006,670,DB,IDA,Sub-Saharan Africa
22850,COD,"Congo, Dem. Rep.",Enforcing Contracts Cost % of claim,Total,2006,151.8,DB,IDA,Sub-Saharan Africa
22855,COD,"Congo, Dem. Rep.",Registering Property: Procedures,Total,2006,7,DB,IDA,Sub-Saharan Africa
22857,COD,"Congo, Dem. Rep.",Rule of Law,Estimate,2006,-1.62,WDI,IDA,Sub-Saharan Africa
22858,COD,"Congo, Dem. Rep.",Time required to register property (days),Total,2006,51,DB,IDA,Sub-Saharan Africa
22863,COG,"Congo, Rep.",Enforcing Contracts,Total,2006,560,DB,Blend,Sub-Saharan Africa
22864,COG,"Congo, Rep.",Enforcing Contracts Cost % of claim,Total,2006,53.2,DB,Blend,Sub-Saharan Africa
22870,COG,"Congo, Rep.",Registering Property: Procedures,Total,2006,6,DB,Blend,Sub-Saharan Africa
22872,COG,"Congo, Rep.",Rule of Law,Estimate,2006,-1.27,WDI,Blend,Sub-Saharan Africa
22873,COG,"Congo, Rep.",Time required to register property (days),Total,2006,76,DB,Blend,Sub-Saharan Africa
22875,COL,Colombia,Corruption / Percent of firms identifying the courts system as a major constraint,Total,2006,6.1,ES,IBRD,Latin America & Caribbean
22877,COL,Colombia,Crime / Percent of firms identifying crime theft and disorder as a major constraint,Total,2006,12.9,ES,IBRD,Latin America & Caribbean
22878,COL,Colombia,Crime / Percent of firms paying for security,Total,2006,78.9,ES,IBRD,Latin America & Caribbean
22879,COL,Colombia,Enforcing Contracts,Total,2006,1346,DB,IBRD,Latin America & Caribbean
22880,COL,Colombia,Enforcing Contracts Cost % of claim,Total,2006,47.9,DB,IBRD,Latin America & Caribbean
22889,COL,Colombia,Registering Property: Procedures,Total,2006,9,DB,IBRD,Latin America & Caribbean
22891,COL,Colombia,Rule of Law,Estimate,2006,-0.51,WDI,IBRD,Latin America & Caribbean
22893,COL,Colombia,Time required to register property (days),Total,2006,23,DB,IBRD,Latin America & Caribbean
22894,COM,Comoros,Enforcing Contracts,Total,2006,506,DB,IDA,Sub-Saharan Africa
22895,COM,Comoros,Enforcing Contracts Cost % of claim,Total,2006,89.4,DB,IDA,Sub-Saharan Africa
22901,COM,Comoros,Registering Property: Procedures,Total,2006,4,DB,IDA,Sub-Saharan Africa
22903,COM,Comoros,Rule of Law,Estimate,2006,-0.95,WDI,IDA,Sub-Saharan Africa
22904,COM,Comoros,Time required to register property (days),Total,2006,30,DB,IDA,Sub-Saharan Africa
22905,CPV,Cabo Verde,Corruption / Percent of firms identifying the courts system as a major constraint,Total,2006,18.4,ES,Blend,Sub-Saharan Africa
22907,CPV,Cabo Verde,Crime / Percent of firms identifying crime theft and disorder as a major constraint,Total,2006,1,ES,Blend,Sub-Saharan Africa
22908,CPV,Cabo Verde,Crime / Percent of firms paying for security,Total,2006,50.5,ES,Blend,Sub-Saharan Africa
22909,CPV,Cabo Verde,Enforcing Contracts,Total,2006,425,DB,Blend,Sub-Saharan Africa
22910,CPV,Cabo Verde,Enforcing Contracts Cost % of claim,Total,2006,21.8,DB,Blend,Sub-Saharan Africa
22916,CPV,Cabo Verde,Registering Property: Procedures,Total,2006,6,DB,Blend,Sub-Saharan Africa
22918,CPV,Cabo Verde,Rule of Law,Estimate,2006,0.65,WDI,Blend,Sub-Saharan Africa
22919,CPV,Cabo Verde,Time required to register property (days),Total,2006,83,DB,Blend,Sub-Saharan Africa
22925,CRI,Costa Rica,Enforcing Contracts,Total,2006,877,DB,IBRD,Latin America & Caribbean
22926,CRI,Costa Rica,Enforcing Contracts Cost % of claim,Total,2006,24.3,DB,IBRD,Latin America & Caribbean
22935,CRI,Costa Rica,Registering Property: Procedures,Total,2006,6,DB,IBRD,Latin America & Caribbean
22937,CRI,Costa Rica,Rule of Law,Estimate,2006,0.47,WDI,IBRD,Latin America & Caribbean
22939,CRI,Costa Rica,Time required to register property (days),Total,2006,21,DB,IBRD,Latin America & Caribbean
22941,CUB,Cuba,Rule of Law,Estimate,2006,-0.76,WDI,..,Latin America & Caribbean
22942,CYM,Cayman Islands,Rule of Law,Estimate,2006,1.08,WDI,..,Latin America & Caribbean
22952,CYP,Cyprus,Rule of Law,Estimate,2006,1.11,WDI,..,Europe & Central Asia
22959,CZE,Czech Republic,Enforcing Contracts,Total,2006,653,DB,..,Europe & Central Asia
22960,CZE,Czech Republic,Enforcing Contracts Cost % of claim,Total,2006,33.8,DB,..,Europe & Central Asia
22969,CZE,Czech Republic,Registering Property: Procedures,Total,2006,5,DB,..,Europe & Central Asia
22971,CZE,Czech Republic,Rule of Law,Estimate,2006,0.87,WDI,..,Europe & Central Asia
22973,CZE,Czech Republic,Time required to register property (days),Total,2006,124,DB,..,Europe & Central Asia
22975,DEU,Germany,Enforcing Contracts,Total,2006,394,DB,..,Europe & Central Asia
22976,DEU,Germany,Enforcing Contracts Cost % of claim,Total,2006,14.4,DB,..,Europe & Central Asia
22985,DEU,Germany,Registering Property: Procedures,Total,2006,6,DB,..,Europe & Central Asia
22987,DEU,Germany,Rule of Law,Estimate,2006,1.78,WDI,..,Europe & Central Asia
22989,DEU,Germany,Time required to register property (days),Total,2006,52,DB,..,Europe & Central Asia
22994,DJI,Djibouti,Enforcing Contracts,Total,2006,1025,DB,IDA,Middle East & North Africa
22995,DJI,Djibouti,Enforcing Contracts Cost % of claim,Total,2006,34,DB,IDA,Middle East & North Africa
23001,DJI,Djibouti,Registering Property: Procedures,Total,2006,6,DB,IDA,Middle East & North Africa
23003,DJI,Djibouti,Rule of Law,Estimate,2006,-0.88,WDI,IDA,Middle East & North Africa
23004,DJI,Djibouti,Time required to register property (days),Total,2006,48,DB,IDA,Middle East & North Africa
23010,DMA,Dominica,Enforcing Contracts,Total,2006,681,DB,Blend,Latin America & Caribbean
23011,DMA,Dominica,Enforcing Contracts Cost % of claim,Total,2006,36,DB,Blend,Latin America & Caribbean
23020,DMA,Dominica,Registering Property: Procedures,Total,2006,5,DB,Blend,Latin America & Caribbean
23022,DMA,Dominica,Rule of Law,Estimate,2006,0.7,WDI,Blend,Latin America & Caribbean
23024,DMA,Dominica,Time required to register property (days),Total,2006,42,DB,Blend,Latin America & Caribbean
23026,DNK,Denmark,Enforcing Contracts,Total,2006,380,DB,..,Europe & Central Asia
23027,DNK,Denmark,Enforcing Contracts Cost % of claim,Total,2006,23.3,DB,..,Europe & Central Asia
23036,DNK,Denmark,Registering Property: Procedures,Total,2006,6,DB,..,Europe & Central Asia
23038,DNK,Denmark,Rule of Law,Estimate,2006,2,WDI,..,Europe & Central Asia
23040,DNK,Denmark,Time required to register property (days),Total,2006,42,DB,..,Europe & Central Asia
23046,DOM,Dominican Republic,Enforcing Contracts,Total,2006,460,DB,IBRD,Latin America & Caribbean
23047,DOM,Dominican Republic,Enforcing Contracts Cost % of claim,Total,2006,40.9,DB,IBRD,Latin America & Caribbean
23056,DOM,Dominican Republic,Registering Property: Procedures,Total,2006,6,DB,IBRD,Latin America & Caribbean
23058,DOM,Dominican Republic,Rule of Law,Estimate,2006,-0.58,WDI,IBRD,Latin America & Caribbean
23060,DOM,Dominican Republic,Time required to register property (days),Total,2006,92,DB,IBRD,Latin America & Caribbean
23063,DZA,Algeria,Enforcing Contracts,Total,2006,630,DB,IBRD,Middle East & North Africa
23064,DZA,Algeria,Enforcing Contracts Cost % of claim,Total,2006,21.9,DB,IBRD,Middle East & North Africa
23070,DZA,Algeria,Registering Property: Procedures,Total,2006,14,DB,IBRD,Middle East & North Africa
23072,DZA,Algeria,Rule of Law,Estimate,2006,-0.71,WDI,IBRD,Middle East & North Africa
23073,DZA,Algeria,Time required to register property (days),Total,2006,74,DB,IBRD,Middle East & North Africa
23075,ECU,Ecuador,Corruption / Percent of firms identifying the courts system as a major constraint,Total,2006,27.4,ES,IBRD,Latin America & Caribbean
23077,ECU,Ecuador,Crime / Percent of firms identifying crime theft and disorder as a major constraint,Total,2006,4.9,ES,IBRD,Latin America & Caribbean
23078,ECU,Ecuador,Crime / Percent of firms paying for security,Total,2006,67.9,ES,IBRD,Latin America & Caribbean
23079,ECU,Ecuador,Enforcing Contracts,Total,2006,588,DB,IBRD,Latin America & Caribbean
23080,ECU,Ecuador,Enforcing Contracts Cost % of claim,Total,2006,27.2,DB,IBRD,Latin America & Caribbean
23089,ECU,Ecuador,Registering Property: Procedures,Total,2006,7,DB,IBRD,Latin America & Caribbean
23091,ECU,Ecuador,Rule of Law,Estimate,2006,-1.03,WDI,IBRD,Latin America & Caribbean
23093,ECU,Ecuador,Time required to register property (days),Total,2006,18,DB,IBRD,Latin America & Caribbean
23099,EGY,"Egypt, Arab Rep.",Enforcing Contracts,Total,2006,1010,DB,IBRD,Middle East & North Africa
23100,EGY,"Egypt, Arab Rep.",Enforcing Contracts Cost % of claim,Total,2006,26.2,DB,IBRD,Middle East & North Africa
23109,EGY,"Egypt, Arab Rep.",Registering Property: Procedures,Total,2006,8,DB,IBRD,Middle East & North Africa
23111,EGY,"Egypt, Arab Rep.",Rule of Law,Estimate,2006,-0.26,WDI,IBRD,Middle East & North Africa
23113,EGY,"Egypt, Arab Rep.",Time required to register property (days),Total,2006,194,DB,IBRD,Middle East & North Africa
23118,ERI,Eritrea,Enforcing Contracts,Total,2006,405,DB,IDA,Sub-Saharan Africa
23119,ERI,Eritrea,Enforcing Contracts Cost % of claim,Total,2006,22.6,DB,IDA,Sub-Saharan Africa
23125,ERI,Eritrea,Registering Property: Procedures,Total,2006,11,DB,IDA,Sub-Saharan Africa
23127,ERI,Eritrea,Rule of Law,Estimate,2006,-1.19,WDI,IDA,Sub-Saharan Africa
23128,ERI,Eritrea,Time required to register property (days),Total,2006,78,DB,IDA,Sub-Saharan Africa
23130,ESP,Spain,Enforcing Contracts,Total,2006,515,DB,..,Europe & Central Asia
23131,ESP,Spain,Enforcing Contracts Cost % of claim,Total,2006,17.2,DB,..,Europe & Central Asia
23140,ESP,Spain,Registering Property: Procedures,Total,2006,4,DB,..,Europe & Central Asia
23142,ESP,Spain,Rule of Law,Estimate,2006,1.13,WDI,..,Europe & Central Asia
23144,ESP,Spain,Time required to register property (days),Total,2006,13,DB,..,Europe & Central Asia
23150,EST,Estonia,Enforcing Contracts,Total,2006,425,DB,..,Europe & Central Asia
23151,EST,Estonia,Enforcing Contracts Cost % of claim,Total,2006,16.9,DB,..,Europe & Central Asia
23160,EST,Estonia,Registering Property: Procedures,Total,2006,3,DB,..,Europe & Central Asia
23162,EST,Estonia,Rule of Law,Estimate,2006,1.14,WDI,..,Europe & Central Asia
23164,EST,Estonia,Time required to register property (days),Total,2006,50.5,DB,..,Europe & Central Asia
23166,ETH,Ethiopia,Corruption / Percent of firms identifying the courts system as a major constraint,Total,2006,13.1,ES,IDA,Sub-Saharan Africa
23168,ETH,Ethiopia,Crime / Percent of firms identifying crime theft and disorder as a major constraint,Total,2006,0.7,ES,IDA,Sub-Saharan Africa
23169,ETH,Ethiopia,Crime / Percent of firms paying for security,Total,2006,91.9,ES,IDA,Sub-Saharan Africa
23170,ETH,Ethiopia,Enforcing Contracts,Total,2006,690,DB,IDA,Sub-Saharan Africa
23171,ETH,Ethiopia,Enforcing Contracts Cost % of claim,Total,2006,15.2,DB,IDA,Sub-Saharan Africa
23180,ETH,Ethiopia,Registering Property: Procedures,Total,2006,9,DB,IDA,Sub-Saharan Africa
23182,ETH,Ethiopia,Rule of Law,Estimate,2006,-0.66,WDI,IDA,Sub-Saharan Africa
23184,ETH,Ethiopia,Time required to register property (days),Total,2006,54,DB,IDA,Sub-Saharan Africa
23186,FIN,Finland,Enforcing Contracts,Total,2006,235,DB,..,Europe & Central Asia
23187,FIN,Finland,Enforcing Contracts Cost % of claim,Total,2006,13.3,DB,..,Europe & Central Asia
23196,FIN,Finland,Registering Property: Procedures,Total,2006,3,DB,..,Europe & Central Asia
23198,FIN,Finland,Rule of Law,Estimate,2006,1.97,WDI,..,Europe & Central Asia
23200,FIN,Finland,Time required to register property (days),Total,2006,14,DB,..,Europe & Central Asia
23205,FJI,Fiji,Enforcing Contracts,Total,2006,397,DB,IBRD,East Asia & Pacific
23206,FJI,Fiji,Enforcing Contracts Cost % of claim,Total,2006,38.9,DB,IBRD,East Asia & Pacific
23212,FJI,Fiji,Registering Property: Procedures,Total,2006,3,DB,IBRD,East Asia & Pacific
23214,FJI,Fiji,Rule of Law,Estimate,2006,-0.06,WDI,IBRD,East Asia & Pacific
